City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Inirida,CO,77.49,scattered clouds,3.8653,-67.9239,Residencias El Turista del Guainia
2,Chicoana,AR,61.05,clear sky,-25.1009,-65.5331,Hostal Los Faroles
3,Whitehorse,CA,57.97,overcast clouds,60.7161,-135.0538,Town & Mountain Hotel
4,Edson,CA,71.74,clear sky,53.5835,-116.4356,Best Western High Road Inn
12,Chonchi,CL,55.11,overcast clouds,-42.6128,-73.8092,Hotel Huildín
15,Margaret River,AU,60.13,scattered clouds,-33.95,115.0667,Margaret River Hotel
17,Mikomeseng,GQ,70.11,light rain,2.1361,10.6132,Hotel Victor
20,Puerto Baquerizo Moreno,EC,79.79,light intensity drizzle rain,-0.9,-89.6,Dory's House
23,Geraldton,AU,57.61,broken clouds,-28.7667,114.6,Ocean Centre Hotel
25,Miles City,US,58.17,overcast clouds,46.4083,-105.8406,Historic Olive Hotel
26,Hamilton,US,72.59,mist,39.1834,-84.5333,North Vista Manor
30,West Island,CC,78.78,shower rain,-12.1568,96.8225,Cocos Village Bungalows
32,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Horisun
38,Guerrero Negro,MX,64.33,few clouds,27.9769,-114.0611,Plaza sal paraiso
41,Decorah,US,63.52,overcast clouds,43.3033,-91.7857,Country Inn & Suites
45,Port Mathurin,MU,77.07,light rain,-19.6833,63.4167,Escale Vacances
48,Kapa'A,US,80.58,light rain,22.0752,-159.319,Pono Kai Resort
50,Lihue,US,79.84,light rain,21.9789,-159.3672,Kauai Palms
51,Wailua Homesteads,US,79.23,light rain,22.0669,-159.378,Hilton Garden Inn Kauai Wailua Bay
54,Jamestown,US,74.79,clear sky,42.097,-79.2353,DoubleTree Jamestown
58,Aver-O-Mar,PT,59.07,clear sky,41.4078,-8.7812,Hotel Santo André
59,Flying Fish Cove,CX,80.28,broken clouds,-10.4217,105.6791,Christmas Island Lodge
60,College,US,64.09,scattered clouds,64.8569,-147.8028,BEST WESTERN PLUS Pioneer Park Inn
61,Kununurra,AU,62.58,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
63,Pisco,PE,71.65,broken clouds,-13.7,-76.2167,La Portada
64,Kayenta,US,69.58,broken clouds,36.7278,-110.2546,Wetherill Inn
65,Narrabri,AU,63.68,clear sky,-30.3167,149.7833,Tattersall's Hotel
67,Sesheke,ZM,60.26,clear sky,-17.4759,24.2968,Sisheke Lodge
75,Taltal,CL,63.41,few clouds,-25.4,-70.4833,Hostería Taltal
79,Antsiranana,MG,75.2,few clouds,-12.2787,49.2917,Central
81,Toliara,MG,71.19,clear sky,-23.35,43.6667,Ambary
84,Kundiawa,PG,72.03,broken clouds,-6.0167,144.9667,Kundiawa Hotel
85,Kanggye,KP,60.4,broken clouds,40.9695,126.5852,강계인풍려관
88,Mushie,CD,73.72,moderate rain,-3.0167,16.9,hôtel Mushi
91,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Hotel Rafael
92,Tolanaro,MG,73.47,scattered clouds,-25.0319,46.9987,Hôtel Mahavokey
96,Powell,US,78.21,light rain,40.1578,-83.0752,Nationwide Hotel and Conference Center
97,Revelstoke,CA,80.62,clear sky,50.9832,-118.2023,Grizz Hotel
100,Hotan,CN,64.92,overcast clouds,37.0997,79.9269,Hua Yi International Hotel (accepts foreigners)
103,Urzhar,KZ,62.38,scattered clouds,47.093,81.6294,Sharikan
104,Uzgen,KG,61.09,overcast clouds,40.7699,73.3007,Кунрат
105,Beidao,CN,55.9,overcast clouds,34.5686,105.8933,麦积大酒店
110,Thompson,CA,64.56,few clouds,55.7435,-97.8558,Thompson Inn
113,Nieuw Amsterdam,SR,80.02,scattered clouds,5.8833,-55.0833,Leonsberg Lodge
122,Garachico,ES,66.31,overcast clouds,28.7781,-17.7646,Residencia El Drago
125,Kerman,IR,58.86,clear sky,30.2832,57.0788,حافظ
126,Sydney,AU,59.77,light rain,-33.8679,151.2073,The Westin
132,Mitchell,US,73.38,broken clouds,43.7094,-98.0298,Quality Inn
133,Ulanhot,CN,60.28,scattered clouds,46.0833,122.0833,阿勒泰大酒店
134,Lorengau,PG,80.92,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
138,Ranau,MY,73.15,overcast clouds,5.9538,116.6641,Logde 37T
140,Touros,BR,77.32,light rain,-5.1989,-35.4608,Pousada Atlântico
143,Villa Canas,AR,64.92,scattered clouds,-34.0057,-61.6076,Colón
146,Mbandaka,CD,70.59,overcast clouds,0.0487,18.2603,Hôtel Epervier
147,Port Elizabeth,ZA,56.32,light rain,-33.918,25.5701,Waterford Hotel
150,Uturoa,PF,78.64,moderate rain,-16.7333,-151.4333,Hawaiki Nui hotel
152,Robore,BO,68.95,overcast clouds,-18.3333,-59.75,Lajas
158,La Ronge,CA,71.82,broken clouds,55.1001,-105.2842,La Ronge Hotel and Suites
160,Yung Shue Wan,HK,74.68,overcast clouds,22.2333,114.1167,浪濤軒酒店 Concerto Inn
162,Karkira,DZ,61.81,light rain,36.9292,6.5856,استراحة دريم هاوس
165,Saint-Philippe,RE,72.99,overcast clouds,-21.3585,55.7679,Le Baril
170,Bengkulu,ID,77.0,broken clouds,-3.8004,102.2655,Dena Hotel
173,Ulladulla,AU,58.28,scattered clouds,-35.35,150.4667,Hotel Marlin
174,Narok,KE,55.58,scattered clouds,-1.0783,35.8601,Lexingtone Hotel
176,Isangel,VU,78.91,overcast clouds,-19.55,169.2667,Tanna Lodge
178,Glendive,US,56.82,overcast clouds,47.1053,-104.7125,La Quinta Inn & Suites by Wyndham Glendive
186,Lethbridge,CA,70.29,scattered clouds,49.7,-112.8186,Sandman Hotel
187,Argo,GR,59.79,overcast clouds,37.6333,22.7333,Apollon Hotel
188,Vila Franca Do Campo,PT,64.81,few clouds,37.7167,-25.4333,Vinha d'Areia Beach Hotel
189,Kone,NC,77.68,overcast clouds,-21.0595,164.8658,Pacifik Appartels
191,North Ward,AU,75.11,scattered clouds,-19.2454,146.8075,Aquarius on the Beach
194,Robertsport,LR,81.64,light rain,6.7533,-11.3686,Nana's Lodge
195,Praia Da Vitoria,PT,64.65,broken clouds,38.7333,-27.0667,Salles
197,Ca Mau,VN,80.06,overcast clouds,9.1769,105.15,Khách sạn Song Ngọc
199,Lompoc,US,78.69,scattered clouds,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
200,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Prainha
202,Dalandzadgad,MN,57.72,few clouds,43.5708,104.425,Хан Уул буудал
203,Takoradi,GH,80.94,overcast clouds,4.8845,-1.7554,Hillcrest
204,Charlottetown,CA,66.49,broken clouds,46.2352,-63.1267,Holman Grand Hotel
206,Mishkovo-Pohorilove,UA,56.01,overcast clouds,46.9995,32.118,Інгул
207,Jwaneng,BW,61.68,overcast clouds,-24.6004,24.7303,Mokala Lodge & Teemane Casino
208,Mabaruma,GY,73.45,overcast clouds,8.2,-59.7833,Monty Brooms Hotel
209,Westerland,DE,57.22,clear sky,54.9079,8.3033,Hotel Claussen
210,Kikwit,CD,75.7,overcast clouds,-5.041,18.8162,Grand Hôtel de Kikwit
213,Nova Sintra,CV,67.93,clear sky,14.8667,-24.7167,Residência Ka Dencho
217,Kavieng,PG,79.57,moderate rain,-2.5744,150.7967,Kavieng Hotel
225,Hasaki,JP,64.8,light rain,35.7333,140.8333,大新旅館
227,Humaita,BR,80.11,overcast clouds,-7.5061,-63.0208,Humaita Quality Hotel
231,Kapuskasing,CA,68.0,few clouds,49.4169,-82.4331,Travelodge
232,Marsa Alam,EG,80.64,clear sky,25.0757,34.8918,Blue House Hotel
235,Grajau,BR,77.56,overcast clouds,-5.8194,-46.1386,Torre Palace Hotel
236,Horta,PT,63.01,overcast clouds,38.5333,-28.6333,Azoris Faial Garden - Resort Hotel
237,Bubaque,GW,78.85,few clouds,11.2833,-15.8333,Chez Julio
238,Korla,CN,67.05,overcast clouds,41.7597,86.1469,Silver Star Hotel
240,Tazacorte,ES,68.97,overcast clouds,28.629,-17.9293,App Leyma
241,Gazojak,TM,77.72,few clouds,41.1875,61.4036,Жайхун
243,Marcala,HN,74.68,overcast clouds,14.15,-88.0333,Hotel Roxana
247,Sirte,LY,71.64,clear sky,31.2089,16.5887,فندق المدينة-سرت
251,Guarapari,BR,72.9,overcast clouds,-20.6667,-40.4975,Osmar Hotel
253,Eureka,US,78.67,few clouds,40.8021,-124.1637,"Eureka Inn, Trademark Collection by Wyndham"
255,Petoskey,US,74.82,overcast clouds,45.3733,-84.9553,Perry Hotel
256,Kuta,ID,78.75,broken clouds,-8.7233,115.1723,Ida Hotel Bali
257,Gutao,CN,61.29,clear sky,37.2025,112.1781,Yufengheng
258,Happy Valley-Goose Bay,CA,68.31,broken clouds,53.3168,-60.3315,Hotel North Two
262,Lewiston,US,78.98,clear sky,44.1003,-70.2148,Hampton
263,Namibe,AO,71.22,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
264,Moberly,US,80.92,overcast clouds,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
266,Mananjary,MG,72.99,overcast clouds,-21.2167,48.3333,Ideal Hotel Annexe
271,Luanda,AO,80.6,few clouds,-8.8368,13.2343,Hotel Forum
272,Smithers,CA,66.52,overcast clouds,54.7804,-127.1743,Sunshine Inn Hotel
273,Puerto Varas,CL,59.22,light intensity drizzle,-41.3195,-72.9854,Hotel Boutique Ignacia Villoria
275,Sarmiento,AR,55.17,overcast clouds,-45.5882,-69.07,Ismar
281,Smidovich,RU,59.02,overcast clouds,48.6,133.8167,Восток
284,Holualoa,US,75.56,broken clouds,19.6228,-155.9522,Kona Hotel
286,Mount Isa,AU,67.77,clear sky,-20.7333,139.5,Ibis Styles
288,Waterloo,CA,77.49,scattered clouds,43.4668,-80.5164,Delta Waterloo
289,Tabou,CI,80.83,overcast clouds,4.423,-7.3528,hôtel le rochet
294,Morondava,MG,73.89,clear sky,-20.2833,44.2833,Hotel Sharon Menabe
295,Colonia,DE,56.95,clear sky,50.9333,6.95,Wasserturm Hotel Cologne
303,Port Lincoln,AU,58.64,clear sky,-34.7333,135.8667,Boston Hotel
308,Argostolion,GR,60.62,overcast clouds,38.1811,20.489,Ainos Hotel
309,Rabaul,PG,80.85,overcast clouds,-4.1967,152.1721,Rabaul Hotel
313,Jianshui,CN,63.37,overcast clouds,23.6363,102.8264,阳阳大酒店
314,Pacific Grove,US,72.55,few clouds,36.6177,-121.9166,Pacific Grove Inn
315,Rabo De Peixe,PT,63.91,few clouds,37.8,-25.5833,Pico do Refugio
319,Antofagasta,CL,63.68,clear sky,-23.65,-70.4,Hotel Colón
320,Russkiy,RU,55.26,overcast clouds,43.0147,131.8642,Novik
321,Kerikeri,NZ,63.91,clear sky,-35.2268,173.9474,Avalon Resort
324,Winnemucca,US,75.25,clear sky,40.973,-117.7357,The Overland Hotel
328,Praia,CV,73.94,few clouds,14.9215,-23.5087,Casa Sodadi
329,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,Khách sạn Thái Bình
332,Corumba,BR,71.87,overcast clouds,-19.0092,-57.6533,Hotel El Shadday
339,Peace River,CA,79.11,broken clouds,56.2501,-117.286,New Ridge Inn
340,Gnarrenburg,DE,55.83,clear sky,53.3833,9.0,Hotel Matthias
352,Sao Jose Da Coroa Grande,BR,78.1,few clouds,-8.8978,-35.1478,Hotel do Sol
354,Kalmunai,LK,79.5,overcast clouds,7.4167,81.8167,Saji new food
355,Fortuna,US,61.93,overcast clouds,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
359,Pontianak,ID,76.98,scattered clouds,-0.0333,109.3333,Golden Tulip Hotel
365,Turpan,CN,80.24,overcast clouds,42.9333,89.1667,Oriental
366,Fort St. John,CA,76.89,broken clouds,56.2499,-120.8529,Fort St. John Motor Inn
369,Vieux-Habitants,GP,80.17,broken clouds,16.0589,-61.7659,"Gîtes ""Les Cocotiers"""
374,Nabire,ID,80.64,broken clouds,-3.3667,135.4833,Hotel Anggrek
375,Shihezi,CN,70.97,overcast clouds,44.3,86.0333,石河子宾馆
379,Barcelos,PT,58.68,clear sky,41.5388,-8.6151,Hotel Dom Nuno
382,Fisterra,ES,56.75,clear sky,42.9049,-9.2629,Hotel Temático do Banco Azul
384,Fort Mcmurray,CA,80.19,clear sky,56.7268,-111.381,Nomad Hotel and Suites
386,Flin Flon,CA,69.64,scattered clouds,54.7682,-101.865,Copperbelt Hotel
388,Kupang,ID,77.58,few clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
390,Gagliano Del Capo,IT,60.82,scattered clouds,39.8442,18.3695,Masseria Palane
391,Lloydminster,CA,71.82,broken clouds,53.2835,-110.0016,Central Suite Hotel Knight's Inn
392,Kitimat,CA,70.18,light rain,54.0524,-128.6534,MStar Hotel
393,Port Said,EG,66.18,clear sky,31.2565,32.2841,The New Continental Hotel
397,Port Shepstone,ZA,68.41,overcast clouds,-30.7414,30.455,The Spot Backpackers'
398,Yarmouth,US,75.2,scattered clouds,41.7057,-70.2286,The Inn At Cape Cod
404,Song Cau,VN,78.21,overcast clouds,13.45,109.2167,La Donna
405,Bontang,ID,79.47,scattered clouds,0.1333,117.5,Hotel Sederhana
406,Jiaojiang,CN,64.99,overcast clouds,28.6803,121.4428,台州远洲凤凰山庄
408,Xiamen,CN,72.25,overcast clouds,24.4798,118.0819,廈門濱北頤豪酒店
409,Shaowu,CN,63.48,overcast clouds,27.3409,117.4831,Jinqiu Hotel
412,Javea,ES,62.33,overcast clouds,38.7833,0.1667,Hotel Sol de Jávea
414,Bhamo,MM,71.46,light rain,24.2667,97.2333,Winlight Hotel
416,Al Bardiyah,LY,63.18,clear sky,31.7561,25.0865,فندق البردي
424,Lamu,KE,77.22,light rain,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
426,Rosarito,MX,72.66,clear sky,32.3333,-117.0333,WorldMark La Paloma
427,Bandar Lampung,ID,75.02,broken clouds,-5.4254,105.258,Grand Anugerah
429,Quellon,CL,55.65,light rain,-43.1167,-73.6167,Aliwen
430,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Pousada Brisa Mar
436,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Tropic Hotel
438,Coronel Dorrego,AR,58.51,overcast clouds,-38.7187,-61.2873,Hotel América
445,Wenling,CN,63.7,overcast clouds,28.3669,121.36,Koro
446,Conceicao Da Barra,BR,71.22,overcast clouds,-18.5933,-39.7322,Porto Marlin Hotel
448,Mouila,GA,75.47,light rain,-1.8685,11.0559,Le Lac Bleu
450,Kapiri Mposhi,ZM,55.62,clear sky,-13.9652,28.6809,Chanika Lodge
451,Nacala,MZ,73.29,scattered clouds,-14.5428,40.6728,Indico Apart Hotel 2
455,San Rafael,AR,68.32,clear sky,-34.6177,-68.3301,Hotel Regional
457,Daru,PG,79.84,overcast clouds,-9.0763,143.2092,Kuki
464,Barreirinhas,BR,77.36,few clouds,-2.7469,-42.8264,Pousada Matriz
465,Sparta,US,63.93,light rain,43.9441,-90.8129,Caboose Cabins
466,Sovetskaya Gavan',RU,57.78,broken clouds,48.9723,140.2878,Гостинный Двор
471,Tamanrasset,DZ,78.71,clear sky,22.785,5.5228,فندق الأمان
474,Chambas,CU,79.2,overcast clouds,22.1928,-78.9136,Hotel Colón
475,Ambanja,MG,72.09,scattered clouds,-13.6833,48.45,Hôtel Salama Rose
477,Iguape,BR,65.34,broken clouds,-24.7081,-47.5553,Pousada dos Lampiões
482,Mount Hagen,PG,61.56,fog,-5.8581,144.2274,Highlander Hotel
483,Prince Rupert,CA,57.29,light rain,54.3161,-130.3201,Crest Hotel
484,Barranca,PE,70.45,few clouds,-10.75,-77.7667,Emperador
485,Laascaanood,SO,80.49,scattered clouds,8.4774,47.3597,Warsame Hotel mnesta
490,Ilhabela,BR,66.78,overcast clouds,-23.7781,-45.3581,Vila Kebaya
491,Ende,ID,76.44,broken clouds,-8.8432,121.6623,LCR Hotel
492,Yevlakh,AZ,59.52,overcast clouds,40.6183,47.1501,Vağzal Otel Mehmanxana
495,Port Augusta,AU,57.38,clear sky,-32.5,137.7667,Hotel Commonwealth
497,Mostaganem,DZ,63.81,clear sky,35.9311,0.0892,Hôtel Munatec
499,Paramonga,PE,71.1,few clouds,-10.6667,-77.8333,Hotel Rico
500,Saint-Paul,RE,75.29,broken clouds,-21.0096,55.2707,Hôtel d'application
508,Rio Grande,BR,64.51,broken clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
512,Malango,ID,67.87,overcast clouds,-2.9627,119.9001,Madarana
514,Babol,IR,62.98,scattered clouds,36.5513,52.679,هتل رضا
518,Champerico,GT,81.14,broken clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
520,Pathein,MM,77.74,overcast clouds,16.7833,94.7333,Taan Taan Ta
522,Rexburg,US,69.31,scattered clouds,43.826,-111.7897,Quality Inn
525,Monte Patria,CL,71.64,scattered clouds,-30.6919,-70.9467,Hotel Monte Cordillera
536,Mount Sterling,US,70.14,overcast clouds,38.0565,-83.9433,Holiday Inn Express & Suites Mt Sterling North
539,Urumqi,CN,70.75,clear sky,43.801,87.6005,百时快捷酒店红山店
542,Langsa,ID,74.95,overcast clouds,4.4683,97.9683,Harmoni Hotel
543,Pesqueira,BR,70.5,overcast clouds,-8.3578,-36.6964,Hotel Estação Cruzeiro
544,Boise,US,78.94,clear sky,43.6135,-116.2035,The Grove Hotel
545,Pemangkat,ID,78.89,scattered clouds,1.1667,108.9667,Hotel Kelapa Gading
547,Lospalos,TL,71.24,broken clouds,-8.5186,127.0025,Hotel Roberto Carlos
549,Matoury,GF,76.96,broken clouds,4.8483,-52.3317,La Marmotte
554,Dryden,CA,75.49,few clouds,49.7833,-92.7503,Holiday Inn Express
555,Bouar,CF,67.26,overcast clouds,5.934,15.596,Mission catholique
556,Fort-Shevchenko,KZ,58.77,overcast clouds,44.5086,50.263,Akku
557,Banda Aceh,ID,79.95,scattered clouds,5.5577,95.3222,Hotel 61
562,Pimampiro,EC,64.6,light rain,0.4,-77.9667,Reyna del Cisne
563,Gori,GE,56.14,overcast clouds,41.9842,44.1158,ინტურისტი
